Name,Team,Name,Age,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,AVG,OBP,SLG,wOBA,WAR,wRC+,NameASCII,PlayerId,MLBAMID
"Jorge Polanco","SEA","Jorge Polanco",31,86,293,325,74,14,0,16,39,47,24,45,0.252559726,0.312693498,0.464163822,0.33347992428316053,1.1707683193427147,120.79811526207298,"Jorge Polanco",13152,593871
"Kyle Teel","CHW","Kyle Teel",23,29,86,104,24,5,0,1,15,8,14,28,0.279069767,0.388349514,0.372093023,0.3427765033777478,0.5726076427803125,120.41352607020556,"Kyle Teel",33549,691019
"Griffin Conine","MIA","Griffin Conine",27,20,64,71,18,7,0,1,10,7,7,19,0.28125,0.352112676,0.4375,0.34458295056517696,0.1609758147432206,120.27914982616299,"Griffin Conine",21626,665052
"Alec Burleson","STL","Alec Burleson",26,94,323,354,92,18,0,12,34,44,25,47,0.284829721,0.335227272,0.452012383,0.3390624066363712,1.2168194045048797,119.98642384248193,"Alec Burleson",27615,676475
"Jake Meyers","HOU","Jake Meyers",29,89,289,322,89,15,2,3,47,21,27,58,0.307958477,0.36875,0.40484429,0.3408164940774441,2.381177685129771,119.8958383142581,"Jake Meyers",20308,676694
"Ben Rice","NYY","Ben Rice",26,86,285,326,66,17,2,15,47,32,30,67,0.231578947,0.323076923,0.463157894,0.33998501539230347,1.366531341685933,119.87595707209653,"Ben Rice",29576,700250
"Junior Caminero","TBR","Junior Caminero",21,99,389,419,101,20,0,26,59,68,23,85,0.259640102,0.30071599,0.511568123,0.3425851079265467,2.4629851684354622,119.65659577225259,"Junior Caminero",28163,691406
"Trea Turner","PHI","Trea Turner",32,102,422,461,125,22,3,11,71,44,33,76,0.29620853,0.351409978,0.440758293,0.3440403046815292,4.469321994913455,119.63799927793275,"Trea Turner",16252,607208
"Zach McKinstry","DET","Zach McKinstry",30,96,313,359,84,14,8,8,49,32,37,74,0.268370607,0.349162011,0.440894568,0.34155466175880755,2.548480500434731,119.57821122389579,"Zach McKinstry",19392,656716
"Jacob Wilson","ATH","Jacob Wilson",23,94,369,396,115,17,0,10,46,45,21,31,0.311653116,0.354430379,0.43902439,0.3452481672848542,2.5356411231723337,119.55387740995332,"Jacob Wilson",33266,805779
"J.P. Crawford","SEA","J.P. Crawford",30,102,384,449,105,16,0,7,45,39,56,78,0.2734375,0.369369369,0.369791666,0.33148889522789293,2.2298004937973865,119.4264668286993,"J.P. Crawford",15491,641487
"Brandon Lowe","TBR","Brandon Lowe",30,86,323,350,87,11,0,19,55,50,24,89,0.269349845,0.32,0.47987616,0.34213669132708135,1.3606692803981264,119.34767515427966,"Brandon Lowe",18882,664040
"Liam Hicks","MIA","Liam Hicks",26,70,181,216,50,9,1,4,19,31,24,31,0.276243093,0.370892018,0.403314917,0.342608285342024,1.0687226969235628,118.92652370607586,"Liam Hicks",29844,689414
"Alex Call","WSN","Alex Call",30,70,189,228,52,9,2,3,30,24,25,33,0.275132275,0.372197309,0.391534391,0.3394675089104828,0.8518031947130139,118.13615045997135,"Alex Call",19296,669743
"Zach Neto","LAA","Zach Neto",24,86,344,373,95,19,1,15,66,38,20,94,0.27616279,0.327077747,0.468023255,0.34064518393210647,2.2092147927664767,118.02421481066122,"Zach Neto",31347,687263
"Alejandro Kirk","TOR","Alejandro Kirk",26,88,312,346,95,13,0,7,27,47,29,34,0.304487179,0.361271676,0.413461538,0.3375298645953799,3.265541605940964,117.65996682666278,"Alejandro Kirk",22581,672386
